대여소 번호,보관소(대여소)명,자치구,상세주소,위도,경도,설치시기,LCD 거치대수,QR 거치대수,운영방식
1319, 종암사거리 분수대,성북구,서울특별시 성북구 종암로 147 성북구 하월곡동 104-134,37.6030426,127.0332718,2017-04-26,,10,QR
1321, 국민은행 종암동지점 앞,성북구,서울특별시 성북구 종암로3길 37-2 성북구 종암동 12-33,37.59328842,127.0366669,2017-05-11,14,,LCD
1322, 래미안라센트아파트 103동 앞,성북구,서울특별시 성북구 종암로3길 37-2 성북구 종암동 12-33,37.59806824,127.0392761,2017-04-26,10,,LCD
1323, 월곡역 입구 육교 밑,성북구,서울특별시 성북구 월곡로 지하 107 성북구 종암동 113-10,37.60043335,127.0402069,2017-04-26,10,,LCD
1325, 상월곡역 4번출구,성북구,서울특별시 성북구 화랑로 148 성북구 상월곡동 산7-1,37.60580826,127.0477371,2017-04-26,10,,LCD
1326, 상월곡역 1번출구,성북구,서울특별시 성북구 화랑로 지하 157 성북구 상월곡동 35-9,37.60606766,127.0473175,2017-04-26,10,,LCD
1327, 상월곡역 3번출구,성북구,서울특별시 성북구 화랑로 지하 157 성북구 상월곡동 26-1,37.60734177,127.0506821,2017-04-26,10,,LCD
1328, 월곡역 3번출구,성북구,서울특별시 성북구 월곡로 지하 107 성북구 하월곡동 37-4,37.6026268,127.0416336,2017-06-27,10,,LCD
1332, 석계역 5번출구 건너편,성북구,서울특별시 노원구 화랑로 지하 347-1 성북구 석관동 134-4,37.61355591,127.0660934,2017-04-26,10,,LCD
1333, 석관초등학교 앞,성북구,서울특별시 성북구 돌곶이로22길 21 성북구 석관동 202-3,37.61052322,127.0597992,2017-04-26,20,,LCD
1334, 석관동주민센터 앞,성북구,서울특별시 성북구 화랑로 296 성북구 석관동 384-2,37.61299896,127.0613098,2017-04-26,10,,LCD
1336, 성북3교 위,성북구,서울특별시 성북구 보문로 192 성북3교 위,37.59125137,127.0140076,2017-11-13,30,,LCD
1337, 돈암성당 옆,성북구,서울특별시 성북구 인촌로7길 120 돈암성당 옆,37.59038162,127.0171356,2017-11-13,13,,LCD
1338, 용문2교 옆,성북구,서울특별시 성북구 인촌로7길 24 용문2교 옆,37.5868988,127.020752,2017-11-13,15,,LCD
1339, 삼성전자서비스 성북센터,성북구,서울특별시 성북구 월계로 28 삼성전자서비스 성북센터,37.610569,127.0335083,2017-11-13,9,,LCD
1340, 광운초등학교 앞,성북구,서울특별시 성북구 장위동 134-27,37.61784363,127.0550003,2017-11-13,11,,LCD
1342, 성북쉼터 앞,성북구,서울특별시 성북구 성북로21길 32 성북쉼터 앞,37.59261703,126.9979324,2017-11-13,10,,LCD
1343, 한성대7번출구 앞,성북구,서울특별시 성북구 동소문로 11 한성대7번출구 앞,37.58924866,127.0073776,2017-11-13,8,,LCD
1344, 아리랑시네센터 앞,성북구,서울특별시 성북구 아리랑로 82 아리랑시네센터 앞,37.60028839,127.0137024,2017-11-13,10,,LCD
1346, 길음8골어린이공원 옆,성북구,서울특별시 성북구 길음로13길 22 길음8골어린이공원 옆,37.60897827,127.0202484,2017-11-13,15,,LCD
1347, 길음래미안아파트817동 상가 앞,성북구,서울특별시 성북구 길음로 33 길음래미안아파트817동 상가 앞,37.60710526,127.0214996,2017-11-13,10,,LCD
1348, 성북제일새마을금고 본점 앞,성북구,서울특별시 성북구 길음로 20 성북제일새마을금고 본점 앞,37.60475159,127.0227585,2017-11-13,12,,LCD
1349, 월계2교 버스정류장 앞,성북구,서울특별시 성북구 한천로101길 18 월계2교 버스정유장 앞,37.62382889,127.0502014,2017-11-13,10,,LCD
1351, 안암2교 옆,성북구,서울특별시 성북구 안암로 17 SK제삼주유소 앞,37.5794487,127.0241928,2017-11-13,8,,LCD
1352, e 편한세상 보문아파트 내,성북구,서울특별시 성북구 낙산길 255 e 편한세상 보문아파트 내,37.58388138,127.0170975,2017-11-13,8,,LCD
1353, 금호어울림센터힐 내,성북구,서울특별시 성북구 동소문로34길 73 금호어울림센터힐 내,37.60083008,127.0235519,2017-11-13,8,,LCD
1354, 고려대학교 2번출구,성북구,서울특별시 성북구 종암로 지하 1 고려대학교 2번출구,37.5907135,127.0361939,2017-11-28,22,,LCD
1355, 보문2교,성북구,서울특별시 성북구 보문로30길 29 보문2교,37.58869934,127.0189133,2017-12-22,25,,LCD
1357, 북한산보국문역,성북구,서울특별시 성북구 보국문로 91 북한산보국문역,37.61207199,127.0081329,2018-02-26,10,,LCD
1358, 정릉도서관 앞,성북구,서울특별시 성북구 보국문로 7-10 정릉도서관 앞,37.60478973,127.010582,2018-02-26,7,,LCD
1359, 장위뉴타운 꿈에 숲 코오롱 하늘채 앞,성북구,서울특별시 성북구 월계로 172 장위뉴타운 꿈에 숲 코오롱 하늘채 앞,37.61980057,127.0450974,2018-02-26,8,,LCD
1360, 정릉역,성북구,서울특별시 성북구 정릉로 272 정릉역,37.60309601,127.013504,2018-02-26,10,,LCD
1361, 홍익중고 입구,성북구,서울특별시 성북구 성북동 142-1,37.59296799,127.0022354,2018-02-26,20,,LCD
1362, 보문역6번출구 앞,성북구,서울특별시 성북구 보문로 112-2,37.58519745,127.0196686,2018-11-02,,12,QR
1363, 보문4교 인근,성북구,서울특별시 성북구 보문로22길 28 보문4교 인근,37.58375168,127.0219498,2018-11-04,25,,LCD
1364, 성북동 치안센터 앞,성북구,서울특별시 성북구 성북로 25 성북동 치안센터 앞,37.59017181,127.0040894,2018-11-02,10,,LCD
1365, 선잠단지 앞,성북구,서울특별시 성북구 성북로 102-10 선잠단지 앞,37.5933609,126.9990921,2018-10-27,10,,LCD
1366, 일신초등학교 옆,성북구,서울특별시 성북구 월곡로 74 일신초등학교 옆,37.59972,127.0403824,2018-10-26,10,,LCD
1367, 길음문화복합미디어센터,성북구,서울특별시 성북구 길음로7길 6 길음뉴타운9단지래미안 상가,37.60404587,127.0226593,2018-11-02,10,,LCD
1368, 성신여대입구 교차로,성북구,서울특별시 성북구 보문로34길 87 성신여대입구 교차로,37.59148026,127.0201035,2018-11-02,10,,LCD
1370, 복자사랑 피정의 집,성북구,서울특별시 성북구 성북로 132-4 복자사랑 피정의 집,37.59453964,126.9952087,2018-10-27,10,,LCD
1372, KEB은행 고대점,성북구,서울특별시 성북구 인촌로 113 KEB은행 고대점,37.58644485,127.031601,2018-10-24,,20,QR
1373, 성북구보건소 건너편,성북구,서울특별시 성북구 화랑로 63 성북구보건소 건너편,37.60229111,127.0389786,2018-10-26,,8,QR
1375, 생명의 전화 종합복지관 앞 교차로,성북구,서울특별시 성북구 오패산로 21 생명의 전화 종합복지관 앞 교차로,37.60390854,127.0373764,2018-12-27,20,,LCD
1376, 한국과학기술연구원 중문,성북구,서울특별시 성북구 화랑로14길 5 한국과학기술연구원 정문,37.59732056,127.043808,2019-05-21,,7,QR
